"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iotc","JPN",132.5,-47.5,1972,1476.262,0,134,NA,NA,NA,134,NA,NA
"iotc","JPN",132.5,-47.5,1974,2698.656,0,9,NA,NA,NA,9,NA,NA
"iotc","JPN",132.5,-47.5,1975,240.348,0,13,NA,NA,NA,13,NA,NA
"iotc","JPN",132.5,-47.5,1976,677.21,0,52,NA,NA,NA,52,NA,NA
"iotc","JPN",132.5,-47.5,1977,604.14,0,127,NA,NA,NA,127,NA,NA
"iotc","JPN",132.5,-47.5,1982,64.478,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",132.5,-47.5,1984,45.375,0,17,NA,NA,NA,17,NA,NA
"iotc","JPN",132.5,-47.5,1985,417.07,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",132.5,-47.5,1986,38.89,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",132.5,-47.5,1988,138.81,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",132.5,-47.5,1989,257.718,0,29,NA,NA,NA,29,NA,NA
"iotc","JPN",132.5,-47.5,1990,190.891,0,15,NA,NA,NA,15,NA,NA
"iotc","JPN",132.5,-47.5,1993,69.646,0,5,NA,NA,NA,5,NA,NA
"iotc","JPN",132.5,-47.5,1996,112.671,0,70,NA,NA,NA,70,NA,NA
"iotc","JPN",132.5,-47.5,1997,130.618,0,56,NA,NA,NA,56,NA,NA
"iotc","JPN",132.5,-47.5,1999,19.126,0,6,NA,NA,NA,6,NA,NA
"iotc","JPN",137.5,-47.5,1968,1901.613,0,115,NA,NA,NA,115,NA,NA
"iotc","JPN",137.5,-47.5,1969,104.623,0,2,NA,NA,NA,2,NA,NA
"iotc","JPN",137.5,-47.5,1970,830.993,0,32,NA,NA,NA,32,NA,NA
"iotc","JPN",137.5,-47.5,1971,2432.488,0,43,NA,NA,NA,43,NA,NA
"iotc","JPN",137.5,-47.5,1972,5545.085,0,1769,NA,1,NA,1768,NA,NA
"iotc","JPN",137.5,-47.5,1973,3738.93,0,808,NA,NA,NA,808,NA,NA
"iotc","JPN",137.5,-47.5,1974,1351.861,0,13,NA,NA,NA,13,NA,NA
"iotc","JPN",137.5,-47.5,1975,2161.564,0,29,NA,NA,NA,29,NA,NA
"iotc","JPN",137.5,-47.5,1976,3050.366,0,133,NA,NA,NA,133,NA,NA
"iotc","JPN",137.5,-47.5,1977,345.852,0,79,NA,NA,NA,79,NA,NA
"iotc","JPN",137.5,-47.5,1978,74.577,0,5,NA,NA,NA,5,NA,NA
"iotc","JPN",137.5,-47.5,1979,1352.874,0,65,NA,NA,NA,65,NA,NA
"iotc","JPN",137.5,-47.5,1980,3406.946,0,82,NA,2,NA,80,NA,NA
"iotc","JPN",137.5,-47.5,1981,511.136,0,12,NA,NA,NA,12,NA,NA
"iotc","JPN",137.5,-47.5,1982,13.186,0,1,NA,NA,NA,1,NA,NA
"iotc","JPN",137.5,-47.5,1983,103.076,0,4,NA,NA,NA,4,NA,NA
"iotc","JPN",137.5,-47.5,1984,541.007,0,22,NA,NA,NA,22,NA,NA
"iotc","JPN",137.5,-47.5,1985,795.298,0,88,NA,NA,NA,88,NA,NA
"iotc","JPN",137.5,-47.5,1986,1984.689,0,204,NA,NA,NA,204,NA,NA
"iotc","JPN",137.5,-47.5,1987,1343.953,0,3,NA,NA,NA,3,NA,NA
"iotc","JPN",137.5,-47.5,1988,840.841,0,13,NA,NA,NA,13,NA,NA
